SELECT 
     COUNT(*),
     a.id,
     a.email,
     a.password,
     aB.name
FROM Account a JOIN AddressBook aB ON a.id = aB.accountId 
GROUP BY aB.accountId
ORDER BY COUNT(*) DESC;

mysql> SELECT 
    ->      COUNT(*),
    ->      a.id,
    ->      a.email,
    ->      a.password,
    ->      aB.name
    -> FROM Account a JOIN AddressBook aB ON a.id = aB.accountId 
    -> GROUP BY aB.accountId
    -> ORDER BY COUNT(*) DESC;
+----------+-----+-------------------------------------------------------+-------------+--------------------------------------+
| COUNT(*) | id  | email                                                 | password    | name                                 |
+----------+-----+-------------------------------------------------------+-------------+--------------------------------------+
|       19 |  14 | egestas.Fusce.aliquet@nec.edu                         | WMH41SPP9PE | Varius Incorporated                  |
|       19 |   5 | in.cursus@sedconsequat.edu                            | JTV98CDW5SE | Justo Nec Incorporated               |
|       18 |  58 | ultrices.sit@arcu.co.uk                               | BGA04ZZV8SZ | Sed Dui Corporation                  |
|       18 |  42 | Nam.consequat.dolor@nondapibusrutrum.ca               | YDS15WJI0FF | Libero Proin Sed Corporation         |
|       17 |   2 | sit.amet.metus@orcilacus.net                          | TYV38WIA6MT | Fermentum Fermentum Company          |
|       16 |  20 | neque.vitae@enimcommodohendrerit.net                  | OFM24YIA1HD | Quam LLC                             |
|       16 |  76 | consectetuer.rhoncus@pedeacurna.net                   | RNW54RQM9KM | Sed Congue Elit Limited              |
|       15 |  71 | magna.Praesent@Inmipede.edu                           | DUI57VKX5US | Integer Tincidunt Aliquam Foundation |
|       15 |  83 | lobortis@metus.edu                                    | FKD39HFM8CG | Ridiculus Mus Consulting             |
|       15 |  31 | purus.Nullam.scelerisque@eleifend.org                 | KPZ39PLK5KP | Mattis Inc.                          |
|       15 |  23 | libero.lacus.varius@gravidaAliquamtincidunt.com       | UFI21GDR5FI | Sagittis PC                          |
|       15 |  77 | tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net | KWC62HNN3YZ | Quis Pede Praesent Institute         |
|       15 |  62 | mauris@placeratCrasdictum.net                         | VJN15TDO8CJ | Arcu Industries                      |
|       14 |  26 | lobortis@elementumpurus.co.uk                         | FNL30WHE3OV | Et Euismod LLP                       |
|       14 |  65 | et.ipsum.cursus@euaugue.com                           | RTR31ZYS4RS | Tempor Augue PC                      |
|       14 |  87 | blandit@nec.com                                       | FVZ33MOA9WU | Ligula Nullam Corporation            |
|       14 |  95 | lorem@apurusDuis.edu                                  | RZH78FRG9YF | Elementum Company                    |
|       14 |  56 | vitae@tinciduntpede.com                               | LCO70FLF7YP | Lorem Auctor Foundation              |
|       13 |  48 | Proin.nisl@arcuMorbisit.net                           | GDB72WGR1IY | Metus Inc.                           |
|       13 |  29 | Ut.sagittis.lobortis@semperduilectus.net              | JRA70KOF7CD | Nulla In Tincidunt Institute         |
|       13 |  68 | Vivamus.molestie@Infaucibus.org                       | XDE19XPH8OA | Ac Tellus Suspendisse PC             |
|       13 |  60 | leo@temporloremeget.co.uk                             | KZH78ACA2VL | Vel PC                               |
|       13 |  88 | adipiscing@Sedetlibero.ca                             | OGF48ZJQ7EL | Pharetra Ut Limited                  |
|       13 |  49 | Donec.tempus.lorem@aliquetodio.ca                     | CCQ64KGB1EC | Enim Non Nisi Foundation             |
|       13 |  91 | Donec.vitae@et.ca                                     | LQY70QKW5NH | Mauris Vel Corp.                     |
|       13 |  78 | ridiculus.mus@euismod.net                             | PED45GXC5ST | Orci Tincidunt Adipiscing LLP        |
|       13 |  97 | Praesent@miDuis.net                                   | WNW54YIN8HW | Eros Non Ltd                         |
|       13 |  73 | sit@nonfeugiatnec.org                                 | LET04GZT3WC | Feugiat Foundation                   |
|       12 |  16 | libero.et@eratvolutpatNulla.edu                       | RSV33YWR2ND | Quis Lectus Nullam Consulting        |
|       12 |  51 | nisl.sem.consequat@dapibus.org                        | UGU28OXG7WL | Fringilla Ornare Institute           |
|       12 |  82 | natoque@perinceptoshymenaeos.net                      | NTM99AEY1KG | Non Lobortis Quis Corp.              |
|       12 |   9 | Suspendisse.non@nullavulputatedui.ca                  | GBV71MAA0JK | Ut Cursus Incorporated               |
|       12 |  25 | Vestibulum.ante.ipsum@egestasblanditNam.net           | HUL78TSW9VQ | Commodo Ipsum PC                     |
|       12 |  98 | iaculis.nec@magnaCrasconvallis.co.uk                  | USQ57GMI8SU | Quisque Nonummy Incorporated         |
|       12 | 100 | ligula.Nullam.feugiat@ligulaDonecluctus.net           | XXQ41HXJ2IW | Lorem Ipsum Corporation              |
|       12 |  79 | semper.egestas.urna@ipsumSuspendissesagittis.ca       | KPO28CXW5CJ | Eu Augue Incorporated                |
|       12 |  13 | Vivamus.euismod.urna@anteNunc.net                     | SLX48XFK2ZG | Libero Integer Ltd                   |
|       12 |  44 | magna.Praesent@Lorem.ca                               | LCJ82SSS9OC | Pede Company                         |
|       12 |  12 | non@eget.com                                          | DQC35HSZ5TH | Sit Consulting                       |
|       12 |  66 | adipiscing.fringilla.porttitor@Quisqueac.edu          | CRJ06GCF6CU | Arcu Aliquam Associates              |
|       12 |  41 | eu@Crasvulputatevelit.com                             | RMN01GMD3QE | Nunc Mauris Associates               |
|       12 |   8 | orci.in@nonnisi.ca                                    | AIV91QNQ3TS | Orci Associates                      |
|       12 |  59 | bibendum@orciUtsemper.com                             | QYJ90FFI6MH | Ut Nisi Ltd                          |
|       12 |  74 | orci.consectetuer.euismod@lacinia.com                 | WRD33AMO3FI | A Purus Duis Associates              |
|       11 |  90 | eu.eros.Nam@temporarcu.edu                            | QYC93TSB5TQ | Morbi Sit Amet Corp.                 |
|       11 |   7 | est.ac@etmalesuadafames.ca                            | YJU55KOH1JD | At Foundation                        |
|       11 |  75 | Nunc.pulvinar.arcu@vel.ca                             | GIH18PCO4OI | Et Ltd                               |
|       11 |  64 | Phasellus.vitae@diamat.com                            | LCQ73YZK5QL | Enim Etiam LLP                       |
|       11 |  61 | porta@Vivamus.com                                     | QIS16XHG0RS | Torquent Industries                  |
|       11 |  50 | dignissim.lacus@vel.ca                                | QMM89JHR0NV | Est Mauris Consulting                |
|       11 |  63 | consectetuer.rhoncus.Nullam@temporloremeget.org       | IXW18QLZ3AH | Mauris Blandit Limited               |
|       11 |  54 | pellentesque.Sed.dictum@lectusquis.co.uk              | LYQ58VJW4OO | Proin Mi Aliquam Consulting          |
